#{"t_start": 1755279082.6950054, "env_id": "None"}
r,l,t
-1.0,1,2.097182
-1.02,3,2.101975
-1.0,1,2.105705
-1.0,1,2.120135
-1.0,1,2.125025
-1.0,1,2.133598
-1.0,1,2.146241
-1.01,2,2.243731
-1.0,1,2.267775
-1.0,1,2.27237
-1.04,5,2.291039
